Months,Madhya Pradesh Food Export(in Rs.Crore)
2014-01,57.3
2014-02,88.86
2014-03,94
2014-04,40.75
2014-05,51.66
2014-06,55.05
2014-07,75.57
2014-08,50.25
2014-09,53.44
2014-10,51.05
2014-11,58.73
2014-12,73.68
2015-01,40.84
2015-02,53.09
2015-03,60.55
2015-04,45.85
2015-05,52.05
2015-06,48
2015-07,47.05
2015-08,25.46
2015-09,44.65
2015-10,60.49
2015-11,42.53
2015-12,62.97
2016-01,44.76
2016-02,50.28
2016-03,72.86
2016-04,39.24
2016-05,52.19
2016-06,42.81
2016-07,48.43
2016-08,48.96
2016-09,41.53
2016-10,58.59
2016-11,37.79
2016-12,46.31
2017-01,66.48
2017-02,52.17
2017-03,86.01
2017-04,49.25
2017-05,67.64
2017-06,83.57
2017-07,85.08
2017-08,90.5
2017-09,87.69
2017-10,89.44
2017-11,82.81
2017-12,70.82
2018-01,52.89
2018-02,62.11
2018-03,85.19
2018-04,66.14
2018-05,63.99
2018-06,79.15
2018-07,58.62
2018-08,79.18
2018-09,94.49
2018-10,101.03
2018-11,63.15
2018-12,107.06
2019-01,96.01
2019-02,58.38
2019-03,73.42
2019-04,76.56
2019-05,62.24
2019-06,80.52
2019-07,79.71
2019-08,70.2
2019-09,68.91
2019-10,66.98
2019-11,64.91
2019-12,70.91
2020-01,76.81
2020-02,69.45
2020-03,97.1
2020-04,97.37
2020-05,140.59
2020-06,139.52
2020-07,114.07
2020-08,98.95
2020-09,122.73
2020-10,129.21
2020-11,68.13
2020-12,90.63
2021-01,111.08
2021-02,80.32
2021-03,100.67
2021-04,99.41
2021-05,106.58
2021-06,95.42
2021-07,89.88
2021-08,106.05
2021-09,89.73
2021-10,97.02
2021-11,108.83
2021-12,128.45
2022-01,117.32
2022-02,119.59
2022-03,170.52
2022-04,164.4
2022-05,163.25
2022-06,162.11
2022-07,157.02
2022-08,144.77
2022-09,146.45
2022-10,131.66
2022-11,144.53
2022-12,169.98
,
Source: DGCIS & https://agriexchange.apeda.gov.in/IndExp/PortNew.aspx ,
